goos: darwin
goarch: arm64
pkg: main_test
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	      1567 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       470.8 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       541.6 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       570.8 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       458.3 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       466.7 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       691.7 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       495.8 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       691.6 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_5-10         	      10	       466.6 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       800.0 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       550.0 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       512.5 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       500.0 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       491.6 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       491.7 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       487.5 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       479.1 ns/op	      48 B/op	       1 allocs/op
Benchmark_TSP_Greedy/greedy_input_size_6-10         	      10	       733.3 ns/op	      48 B/op	       1 allocs/op
